park_id,name,address,district,latitude,longitude
tdcp5,City Hall Car Park,"1 Edinburgh Place, Central, Hong Kong",Central & Western,22.2819106,114.1621397
tdc49p4,Citygate P1 Carpark,"18 Tat Tung Road, Tung Chung",Islands,22.2902658,113.9405317
tdc49p2,Citygate P2 Carpark,"20 Tat Tung Road, Tung Chung",Islands,22.289947,113.9411584
tdc49p1,Citygate P3 Carpark,"39 Man Tung Road, Tung Chung",Islands,22.2909808,113.9433026
tdc25p42,Cornell Centre,"50 Wing Tai Road, Chai Wan, Hong Kong",Eastern,22.2674599,114.2428436
tdc58p4,Cornwall Street Park,"17 Cornwall Street, Kowloon Tong",Sham Shui Po,22.3396225,114.1736018
tdc73p1,Crocodile Centre,"79 Hoi Yuen Road, Kwun Tong, Kowloon",Kwun Tong,22.3117331,114.2257067
tdc113p1,Cyberport Carpark 1 & 2,"100 Cyberport Rd, Telegraph Bay, Southern District",Southern,22.2620756,114.1301711
tdc113p2,Cyberport Carpark 3,"100 Cyberport Rd, Telegraph Bay, Southern District",Southern,22.2595958,114.131693
38,Domain Carpark,"LG1, Domain, 38 Ko Chiu Road, Yau Tong, KLN",Kwun Tong District,22.2959808,114.2386937
tdc8p10,ELEMENTS Carpark,"1 AUSTIN ROAD WEST, Yau Tsim Mong District, Kowloon",Yau Tsim Mong,22.3049324,114.1615793
tdc69p1,Fanling Swimming Pool,"73 San Wan Road, Fanling",North,22.4954032,114.1356842
tdstt65,Fo Shing Road Car Park,"Fo Shing Road,Tai Po, New Territories",Tai Po,22.430854,114.2031676
tdc14p4330,Fu Heng Car Park A,"Fu Heng Shopping Centre, 6 Chung Nga Road, Tai Po, New Territories",Tai Po,22.4587303,114.1710925
tdc14p4322,Fu Shin Car Park,"Fu Shin Shopping Centre, 12 On Po Road, Tai Po, New Territories",Tai Po,22.453548,114.174143
tdc14p3527,Fu Tai Car Park,"Fu Tai Shopping Centre, 9 Tuen Kwai Road, Tuen Mun, New Territories",Tuen Mun,22.413938,113.9837151
tdc14p6730,Fu Tung Car Park A,"Fu Tung Plaza, 6 Fu Tung Street, Tung Chung, New Territories",Islands,22.286571,113.942254
tdc14p7645,Fung Lai Car Park,"Fung Lai Court Car Park, 8 Fung Lai Road, Diamond Hill,  Kowloon",Wong Tai Sin,22.3444157,114.202179
tdc14p7629,Fung Tak Car Park A,"Fung Tak Shopping Centre, 111 Fung Tak Road, Diamond Hill, Kowloon",Wong Tai Sin,22.3442902,114.201173
tdc271p1,Hammer Hill Road Sports Ground Car Park,"Wing Ting Road, Wong Tai Sin, Kowloon",Wong Tai Sin,22.337606,114.2074562
tdc272p1,Hammer Hill Road Swimming Pool Car Park,"Wing Ting Road, Wong Tai Sin, Kowloon",Wong Tai Sin,22.3374249,114.2070296
tdc14p2104,Heng On Car Park,"Heng On Commercial Centre, 1 Hang Kam Street, Ma On Shan, Sha Tin, New Territories",Sha Tin,22.416621,114.228137
tdc25p44,Hewlett Centre,"54 Hoi Yuen Road, Kwun Tong, Kowloon",Kwun Tong,22.3096221,114.2242556
tdc14p3201,Hin Keng Car Park,"Hin Keng Shopping Centre, 69 Che Kung Miu Road, Tai Wai, Sha Tin, New Territories",Sha Tin,22.364076,114.172507
tdc81p1,Hing Fong Road Playground,"Hing Fong Road, Kwai Chung",Kwai Tsing,22.3608465,114.1281536
tdc14p1017,Hing Tung Car Park,"Hing Tung Shopping Centre, 55 Yiu Hing Road, Shau Kei Wan, Hong Kong",Eastern,22.2804899,114.2200719
tdc14p1034,Hing Wah Car Park B,"Hing Wah Plaza, 11 Wan Tsui Road, Chai Wan, Hong Kong",Eastern,22.26303,114.2351
tdc14p6607,Hiu Lai Car Park,"Hiu Lai Shopping Centre, 21 Hiu Kwong Street, Kwun Tong, Kowloon",Kwun Tong,22.3208395,114.2294513
tdc14p8428,Hoi Fu Car Park,"Hoi Fu Shopping Centre, 2 Hoi Ting Road, Mong Kok, Kowloon",Yau Tsim Mong,22.31575,114.165453
tdstt46,Hoi Shing Road NEVAS Smart Car Park,"At Junction of Hoi Shing Road and Hoi Kok Street, Tsuen Wan",Tsuen Wan,22.3715534,114.1081085
tdstt30,Hoi Ting Road,"Hoi Ting Road, Yau Ma Tei, Kowloon",Yau Tsim Mong,22.3140129,114.1627666
tdstt132,Hoi Tou Car Park,"Hoi Wah Road, Tuen Mun, New Territories",Tuen Mun,22.3815012,113.9759981
